Ano RioJaneiro  SaoPaulo BeloHorizonte PortoAlegre Curitiba Cuiaba Brasilia Manaus Fortaleza Natal Recife Salvador
1980 132.4204 67.01316 52.05073 21.35459 16.48188 6.175699 36.28387 62.65461 75.63616 74.16686 102.3671 4.847502
1981 91.90339 85.89454 36.21647 37.55768 15.0076 17.60873 39.6685 71.20419 72.70702 67.19247 117.5809 3.892431
1982 80.50615 82.77239 34.12345 45.65689 22.14363 2.73508 55.16839 60.03878 71.72342 84.87654 120.9231 22.27443
1983 30.19919 119.7349 24.63713 30.27166 21.78649 2.560164 47.02908 64.05377 90.31307 46.19832 158.262 6.538966
1984 45.41635 160.4026 34.5085 26.23727 29.18439 4.813246 39.34142 83.45852 91.30075 43.22829 176.5768 21.87627
1985 36.79135 161.6597 26.77461 28.28889 28.73091 13.62491 65.09451 58.3742 73.70392 30.6894 214.8957 24.40725
1986 28.74345 166.9 32.77937 37.80836 35.80255 19.3565 62.01825 56.37471 80.95445 27.0442 214.3037 6.420861
1987 119.486 177.1044 37.37909 36.85427 29.58563 26.57346 74.12393 70.51491 57.41568 51.18916 220.3976 24.32633
1988 46.30252 161.5219 35.63239 83.08942 46.55285 21.445 74.58843 68.26137 66.92111 59.96657 195.5229 51.13027
1989 87.77774 197.6797 45.88403 140.1608 59.19484 63.42337 83.3214 91.36815 84.08013 80.73632 268.1982 84.16441
1990 272.947 205.0405 35.66397 136.7307 64.96697 26.84948 102.3333 120.88 66.22051 67.80646 280.037 58.9523
1991 140.3245 210.7597 50.16693 122.444 47.32684 39.34045 121.8188 145.5482 78.44628 71.77906 247.4911 7.405363
1992 73.89677 195.8329 40.64058 124.2316 46.1918 16.79007 102.9879 99.96876 63.57203 51.15387 190.6857 41.26965
1993 120.9024 180.3019 45.71429 67.4193 58.57654 42.70192 130.4505 94.24558 81.31529 69.27142 274.9731 146.1965
1994 139.7053 198.0453 41.77882 88.05419 66.89652 21.46548 129.5024 120.4229 72.64802 63.78533 258.8498 163.6345
1995 234.1987 223.1397 62.33126 112.6203 74.08732 89.33623 137.812 120.1021 112.9427 57.40715 281.5315 119.793
1996 255.1764 223.8611 62.90904 100.218 75.86966 136.7755 123.906 125.7388 95.65879 69.64019 301.9665 154.4315
1997 260.5038 220.0628 65.73034 145.5269 93.70773 171.0733 124.7637 128.3525 93.68829 73.78792 432.0534 172.1924
1998 260.8303 238.4131 85.58023 134.7709 74.95473 258.9464 133.5591 153.9388 79.44523 64.11558 489.7741 68.42559
1999 225.6936 273.1181 98.53943 151.7488 93.23371 225.5963 134.6906 133.3183 85.476 34.73465 425.7404 34.51766
2000 238.3832 267.0711 145.4069 168.3617 100.8951 252.2483 133.8914 130.4197 101.345 39.11853 410.661 50.14857
2001 229.206 257.7604 143.7837 143.0542 104.5311 268.8678 141.51 91.39638 105.9674 61.3418 418.5986 87.77178
2002 265.4374 214.2932 183.7693 166.1391 134.0067 193.3749 133.7589 97.31522 116.5403 55.44639 389.82 98.77647
2003 248.7074 227.3389 259.5677 160.975 151.3783 195.5901 155.5015 117.9478 111.7931 96.889 409.2205 130.1933
2004 238.558 168.58 302.3008 184.0867 171.9726 178.4889 148.3619 102.7724 110.9627 61.50585 436.6236 126.373
2005 190.3832 110.0643 246.0003 184.7947 184.6261 187.4356 127.4965 119.6652 149.4737 89.99578 409.9088 164.4346
2006 205.0593 83.79087 229.2968 151.9675 210.7807 179.4236 127.7961 131.3656 150.4461 90.45353 420.8366 189.1951
2007 166.6503 63.46927 238.0023 215.1088 207.8128 152.2861 147.8428 136.4177 169.2588 125.5107 413.233 223.2749
2008 139.5007 51.43414 207.4813 202.3635 240.5536 159.3859 149.8176 157.1002 157.3882 139.2928 397.0389 297.9664
2009 78.54758 56.25928 174.3363 181.7435 235.8835 179.8122 167.6968 181.6851 159.963 181.096 349.6954 323.3696
